id,Elevation_,Slope1_maj,Total Rain,Slope,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,r_lu,LENGTH_maj,r_stream_m,w_stream_m,Elev,r_dem_majo,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,w_lu,Total rw,Total r
8a658bd103affff,209.000000,20.559278,1421.610000,20.56,U101,U,U1,U,"2",119.360920,3.000000,0.260000,209.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",15.000
8a658bd10aa7fff,51.000000,56.666294,1423.260000,56.67,U101,U,U1,U,"2",601.000000,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd102c7fff,209.000000,2.325490,1420.640000,2.33,U101,U,U1,U,"2",588.837520,1.000000,0.260000,209.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd108effff,101.000000,0.645253,1424.350000,0.65,U101,U,U1,U,"2",601.000000,1.000000,0.260000,101.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1382ffff,93.000000,68.859543,1418.830000,68.86,U101,U,U1,U,"2",280.731920,1.000000,0.260000,93.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1152ffff,212.000000,20.568029,1421.840000,20.57,U101,U,U1,U,"2",601.000000,1.000000,0.260000,212.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11c87fff,187.000000,60.073944,1422.120000,60.07,U101,U,U1,U,"2",601.000000,1.000000,0.260000,187.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd13977fff,218.000000,21.126564,1419.810000,21.13,U101,U,U1,U,"2",588.837520,2.000000,0.260000,218.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1025ffff,220.000000,42.302486,1421.230000,42.30,U101,U,U1,U,"2",588.837520,2.000000,0.260000,220.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",12.000
8a658bd11537fff,191.000000,8.479624,1421.680000,8.48,U101,U,U1,U,"2",280.731920,1.000000,0.260000,191.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
