hex_id,Elevation_,Slope1_maj,Total Rain,Slope,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,r_lu,LENGTH_maj,r_stream_m,w_stream_m,Elev,r_dem_majo,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,w_lu,Total rw,Total r
8a658bd103affff,209,20.559278,1421.61,20.56,U101,U,U1,U,2,119.36092,3,0.26,209,4,4,0.3,2,0.26,0.16,0.02,3,15
8a658bd10aa7fff,51,56.666294,1423.26,56.67,U101,U,U1,U,2,601,1,0.26,51,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd102c7fff,209,2.32549,1420.64,2.33,U101,U,U1,U,2,588.83752,1,0.26,209,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd108effff,101,0.645253,1424.35,0.65,U101,U,U1,U,2,601,1,0.26,101,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1382ffff,93,68.859543,1418.83,68.86,U101,U,U1,U,2,280.73192,1,0.26,93,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1152ffff,212,20.568029,1421.84,20.57,U101,U,U1,U,2,601,1,0.26,212,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd11c87fff,187,60.073944,1422.12,60.07,U101,U,U1,U,2,601,1,0.26,187,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd13977fff,218,21.126564,1419.81,21.13,U101,U,U1,U,2,588.83752,2,0.26,218,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd1025ffff,220,42.302486,1421.23,42.3,U101,U,U1,U,2,588.83752,2,0.26,220,3,4,0.3,1,0.26,0.16,0.02,3,12
8a658bd11537fff,191,8.479624,1421.68,8.48,U101,U,U1,U,2,280.73192,1,0.26,191,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd10327fff,176,27.387041,1422.5,27.39,U101,U,U1,U,2,601,1,0.26,176,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd10027fff,205,57.495419,1422.71,57.5,U101,U,U1,U,2,588.83752,2,0.26,205,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd1391ffff,51,67.624374,1418.87,67.62,U101,U,U1,U,2,280.73192,1,0.26,51,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd102f7fff,185,6.064354,1420.72,6.06,U101,U,U1,U,2,588.83752,2,0.26,185,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd13997fff,89,57.43821,1417.09,57.44,U101,U,U1,U,2,601,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
