hex_id,Elevation,TotalRainfall,Slope,LengthFromRiver,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,Risk_Score,Risk_Score_rw,r_stream_m,w_stream_m,r_elev,w_elev,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,r_lu,w_lu
8a658bd103affff,209,1421.61,20.56,119.36092,U101,U,U1,U,15,3,3,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10aa7fff,51,1423.26,56.67,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd102c7fff,209,1420.64,2.33,588.83752,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd108effff,101,1424.35,0.65,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1382ffff,93,1418.83,68.86,280.73192,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1152ffff,212,1421.84,20.57,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c87fff,187,1422.12,60.07,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13977fff,218,1419.81,21.13,588.83752,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1025ffff,220,1421.23,42.3,588.83752,U101,U,U1,U,12,3,2,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11537fff,191,1421.68,8.48,280.73192,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10327fff,176,1422.5,27.39,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10027fff,205,1422.71,57.5,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1391ffff,51,1418.87,67.62,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
